Finding ID,Finding,Finding type,Source PDF,Page,Extracted evidence,Dataset records,Calculation,Confidence,Notes
F-TIME-02,"One rule in the folder can be re-run against the notices from end to end, and it holds in every case: the tender security must stay valid at least 28 days past the tender's own expiry, and all 1118 notices that print both dates do - 1110 of them by exactly 28 days",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_1001782.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director (CDA Square) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director (CDA Square) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director (CDA Square) || thana: Tender/Proposal : Kotowali Circle Fax No :,tenders.csv tender_id=1001782 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=1001782 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1001782 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1001782 clause 3 (2/2 recorded values found on the page); lots.csv tender_id=1001782 (5/6 recorded values found on the page),"security_valid_until minus tender_valid_until per row of tenders.csv, compared with the 28 days the quoted rule requires",High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-TIME-02,"One rule in the folder can be re-run against the notices from end to end, and it holds in every case: the tender security must stay valid at least 28 days past the tender's own expiry, and all 1118 notices that print both dates do - 1110 of them by exactly 28 days",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_1001843.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director (CDA Square) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director (CDA Square) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director (CDA Square) || thana: Tender/Proposal : Kotowali Circle Fax No :,tenders.csv tender_id=1001843 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=1001843 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1001843 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1001843 clause 3 (2/2 recorded values found on the page); lots.csv tender_id=1001843 (5/6 recorded values found on the page),"security_valid_until minus tender_valid_until per row of tenders.csv, compared with the 28 days the quoted rule requires",High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-TIME-02,"One rule in the folder can be re-run against the notices from end to end, and it holds in every case: the tender security must stay valid at least 28 days past the tender's own expiry, and all 1118 notices that print both dates do - 1110 of them by exactly 28 days",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_1002615.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Water Logging) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Water Logging) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Tender/Proposal : City : Chattogran Fax No : || country: Country : Bangladesh,tenders.csv tender_id=1002615 (35/35 recorded values found on the page); eligibility_criteria.csv tender_id=1002615 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1002615 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1002615 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1002615 clause 4 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1002615 clause 5 (2/2 recorded values found on the page); lots.csv tender_id=1002615 (6/6 recorded values found on the page),"security_valid_until minus tender_valid_until per row of tenders.csv, compared with the 28 days the quoted rule requires",High. The value is printed on the page named here and was re-read by a second extractor.,
F-TIME-03,"The folder calls a tender validity period of 60 to 150 days normal; 0 of the 1102 notices that print it fall below 60, and 17 run to 180 days",DOCUMENTED FACT,eGP_Forensic_Engine/2026-01-04-13-47-03-e-PG3A.pdf,39,ITT 29.1 The Tender Validity period shall be [sate days] days. [normally 60 to 150 days; shorter or longer period may be authorized by HOPE or Authorized Officer to suit the requirements of particular Procurement activity,no dataset row is keyed to this document,tender_valid_until minus closing_date per row of tenders.csv against the band read from the quoted rule,High. The value is printed on the page named here and was re-read by a second extractor.,
F-TIME-03,"The folder calls a tender validity period of 60 to 150 days normal; 0 of the 1102 notices that print it fall below 60, and 17 run to 180 days",DOCUMENTED FACT,Tender Notice_PDFs/KDA_Tender_1265434.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || procuring_entity: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || district: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || city: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || thana: Thana : Sonadanga,tenders.csv tender_id=1265434 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=1265434 clause 1 (2/2 recorded values found on the page); lots.csv tender_id=1265434 (6/6 recorded values found on the page); amendments.csv tender_id=1265434 (2/2 recorded values found on the page),tender_valid_until minus closing_date per row of tenders.csv against the band read from the quoted rule,High. The value is printed on the page named here and was re-read by a second extractor.,
F-TIME-03,"The folder calls a tender validity period of 60 to 150 days normal; 0 of the 1102 notices that print it fall below 60, and 17 run to 180 days",DOCUMENTED FACT,Tender Notice_PDFs/KDA_Tender_581310.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || procuring_entity: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || district: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || city: Organization : Khulna Development Authority (KDA) Procuring Entity Name : Office of Exen (works) || thana: Thana : Sonadanga,tenders.csv tender_id=581310 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=581310 clause 1 (2/2 recorded values found on the page); lots.csv tender_id=581310 (6/6 recorded values found on the page),tender_valid_until minus closing_date per row of tenders.csv against the band read from the quoted rule,High. The value is printed on the page named here and was re-read by a second extractor.,
F-TIME-03,"The folder calls a tender validity period of 60 to 150 days normal; 0 of the 1102 notices that print it fall below 60, and 17 run to 180 days",DOCUMENTED FACT,Tender Notice_PDFs/RAJUK_Tender_1017045.pdf,1-2,"ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Construction of multi-storied apartment || district: Dhanmondi, Dhaka. || city: Dhanmondi, Dhaka. || country: Country : Bangladesh || phone: Address of Official Inviting Address : RAJUK Annex. Building Contact details of Official Inviting Tender/Proposal : Phone No : 02-9559386",tenders.csv tender_id=1017045 (36/36 recorded values found on the page); eligibility_criteria.csv tender_id=1017045 clause 1 (2/2 recorded values found on the page); lots.csv tender_id=1017045 (5/6 recorded values found on the page),tender_valid_until minus closing_date per row of tenders.csv against the band read from the quoted rule,High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-TIME-04,"Nothing in the folder says how long a national tender must stay open, and all 1150 of these tenders are national",UNRESOLVED,eGP_Forensic_Engine/chapter2_en.pdf,47,not less than 90 days shall be allowed to enable prospective bidders to conduct investigations at the site before submitting their bids.,no dataset row is keyed to this document,procurement_type over tenders.csv; regex search of raw_pages.json over eGP_Forensic_Engine/ for any figure of days allowed for tendering,Certain that the supplied documents do not answer it. Nothing here asserts what the answer would be.,
F-AMEND-01,"160 of the 1150 tender notices carry an amendment, 144 of them printing a table of what changed; of the 735 changes those tables list, 216 print an old value and a new value that are the same",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_100483.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Silimpur) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Silimpur) || district: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Silimpur) || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Silimpur) || thana: Tender/Proposal : Kotowali Circle Fax No :,tenders.csv tender_id=100483 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=100483 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=100483 clause 2 (2/2 recorded values found on the page); lots.csv tender_id=100483 (5/6 recorded values found on the page); amendments.csv tender_id=100483 (2/2 recorded values found on the page),"amendments.csv and amendment_changes.csv, one row per field the notice's change table lists; value_changed compares the printed old and new strings",High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-AMEND-01,"160 of the 1150 tender notices carry an amendment, 144 of them printing a table of what changed; of the 735 changes those tables list, 216 print an old value and a new value that are the same",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_1006947.pdf,1-2,"ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin), Chittagong || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin), Chittagong || country: Country : Bangladesh || phone: Address of Official Inviting Address : CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401",tenders.csv tender_id=1006947 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 4 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 5 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 6 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=1006947 clause 7 (2/2 recorded values found on the page); lots.csv tender_id=1006947 (5/6 recorded values found on the page); amendments.csv tender_id=1006947 (2/2 recorded values found on the page),"amendments.csv and amendment_changes.csv, one row per field the notice's change table lists; value_changed compares the printed old and new strings",High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-AMEND-01,"160 of the 1150 tender notices carry an amendment, 144 of them printing a table of what changed; of the 735 changes those tables list, 216 print an old value and a new value that are the same",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_235131.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || district: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || thana: Thana : Kotowali,tenders.csv tender_id=235131 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 4 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 5 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 6 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 7 (2/2 recorded values found on the page); lots.csv tender_id=235131 (5/6 recorded values found on the page); amendments.csv tender_id=235131 (2/2 recorded values found on the page),"amendments.csv and amendment_changes.csv, one row per field the notice's change table lists; value_changed compares the printed old and new strings",High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-AMEND-01,"160 of the 1150 tender notices carry an amendment, 144 of them printing a table of what changed; of the 735 changes those tables list, 216 print an old value and a new value that are the same",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_342502.pdf,1-3,"ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Procuring Entity Code : Procuring Entity District : Chattogram || thana: Address of Official Inviting Address : CDA Building, Kotowali Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401",tenders.csv tender_id=342502 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 4 (2/2 recorded values found on the page); lots.csv tender_id=342502 (6/6 recorded values found on the page); amendments.csv tender_id=342502 (2/2 recorded values found on the page),"amendments.csv and amendment_changes.csv, one row per field the notice's change table lists; value_changed compares the printed old and new strings",High. The value is printed on the page named here and was re-read by a second extractor.,
F-AMEND-02,"All 404 date changes the amendment tables print move the date later; none moves it earlier. The 104 changes to a closing date, across 88 tenders, add a median of 7.0 days each",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_235131.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || district: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || thana: Thana : Kotowali,tenders.csv tender_id=235131 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 4 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 5 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 6 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 7 (2/2 recorded values found on the page); lots.csv tender_id=235131 (5/6 recorded values found on the page); amendments.csv tender_id=235131 (2/2 recorded values found on the page),amendment_changes.csv where field is one of the four date fields; both sides parsed as dd/mm/yyyy hh:mm and subtracted,High. The value is printed on the page named here and was re-read by a second extractor.,"1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-AMEND-02,"All 404 date changes the amendment tables print move the date later; none moves it earlier. The 104 changes to a closing date, across 88 tenders, add a median of 7.0 days each",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_342502.pdf,1-3,"ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Procuring Entity Code : Procuring Entity District : Chattogram || thana: Address of Official Inviting Address : CDA Building, Kotowali Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401",tenders.csv tender_id=342502 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 4 (2/2 recorded values found on the page); lots.csv tender_id=342502 (6/6 recorded values found on the page); amendments.csv tender_id=342502 (2/2 recorded values found on the page),amendment_changes.csv where field is one of the four date fields; both sides parsed as dd/mm/yyyy hh:mm and subtracted,High. The value is printed on the page named here and was re-read by a second extractor.,
F-AMEND-02,"All 404 date changes the amendment tables print move the date later; none moves it earlier. The 104 changes to a closing date, across 88 tenders, add a median of 7.0 days each",DOCUMENTED FACT,Tender Notice_PDFs/CDA_Tender_398199.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Electrical & Mechanical Engineering || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Electrical & Mechanical Engineering || thana: Tender/Proposal : Kotowali Circle Fax No : || country: Country : Bangladesh,tenders.csv tender_id=398199 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=398199 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=398199 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=398199 clause 3 (2/2 recorded values found on the page); lots.csv tender_id=398199 (6/6 recorded values found on the page); amendments.csv tender_id=398199 (2/2 recorded values found on the page),amendment_changes.csv where field is one of the four date fields; both sides parsed as dd/mm/yyyy hh:mm and subtracted,High. The value is printed on the page named here and was re-read by a second extractor.,
F-AMEND-03,"For the 83 amended tenders where both versions can be dated, the bidding window as first advertised was a median of 22 days and the window after amendment a median of 30 days - so the 22-day median this investigation reports for the whole archive is the amended figure, not the one bidders first saw",DATA-DERIVED FINDING,Tender Notice_PDFs/CDA_Tender_235131.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || district: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || city: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin) || thana: Thana : Kotowali,tenders.csv tender_id=235131 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 4 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 5 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 6 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=235131 clause 7 (2/2 recorded values found on the page); lots.csv tender_id=235131 (5/6 recorded values found on the page); amendments.csv tender_id=235131 (2/2 recorded values found on the page),published_date from tenders.csv against the old and new closing dates in amendment_changes.csv,"High for the arithmetic, which is given in full in the Calculation column; the inputs are printed values.","1 value(s) are printed in another form - a reassembled table cell, or wording that differs - and are shown against the page in evidence_index.json"
F-AMEND-03,"For the 83 amended tenders where both versions can be dated, the bidding window as first advertised was a median of 22 days and the window after amendment a median of 30 days - so the 22-day median this investigation reports for the whole archive is the amended figure, not the one bidders first saw",DATA-DERIVED FINDING,Tender Notice_PDFs/CDA_Tender_342502.pdf,1-3,"ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das) || procuring_entity: Organization : Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das) || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Procuring Entity Code : Procuring Entity District : Chattogram || thana: Address of Official Inviting Address : CDA Building, Kotowali Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401",tenders.csv tender_id=342502 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 3 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=342502 clause 4 (2/2 recorded values found on the page); lots.csv tender_id=342502 (6/6 recorded values found on the page); amendments.csv tender_id=342502 (2/2 recorded values found on the page),published_date from tenders.csv against the old and new closing dates in amendment_changes.csv,"High for the arithmetic, which is given in full in the Calculation column; the inputs are printed values.",
F-AMEND-03,"For the 83 amended tenders where both versions can be dated, the bidding window as first advertised was a median of 22 days and the window after amendment a median of 30 days - so the 22-day median this investigation reports for the whole archive is the amended figure, not the one bidders first saw",DATA-DERIVED FINDING,Tender Notice_PDFs/CDA_Tender_398199.pdf,1-2,ministry: Ministry : Ministry of Housing and Public Works Division : || agency: Organization : Chittagong Development Authority Procuring Entity Name : Electrical & Mechanical Engineering || district: Procuring Entity Code : Procuring Entity District : Chattogram || city: Organization : Chittagong Development Authority Procuring Entity Name : Electrical & Mechanical Engineering || thana: Tender/Proposal : Kotowali Circle Fax No : || country: Country : Bangladesh,tenders.csv tender_id=398199 (37/37 recorded values found on the page); eligibility_criteria.csv tender_id=398199 clause 1 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=398199 clause 2 (2/2 recorded values found on the page); eligibility_criteria.csv tender_id=398199 clause 3 (2/2 recorded values found on the page); lots.csv tender_id=398199 (6/6 recorded values found on the page); amendments.csv tender_id=398199 (2/2 recorded values found on the page),published_date from tenders.csv against the old and new closing dates in amendment_changes.csv,"High for the arithmetic, which is given in full in the Calculation column; the inputs are printed values.",
